year,share_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets,symbol
Mar 2011,491,"21,996","5,280","9,053","36,820","10,488",503,"5,241","20,588","36,820",WIPRO
Mar 2012,492,"26,526","5,896","10,318","43,231","12,436",347,"4,472","25,977","43,231",WIPRO
Mar 2013,492,"26,072","6,381","10,675","43,621","9,996",407,"6,765","26,454","43,621",WIPRO
Mar 2014,493,"31,636","5,159","12,245","49,533","10,649",369,"6,146","32,368","49,533",WIPRO
Mar 2015,494,"36,598","7,891","13,367","58,350","10,837",395,"5,532","41,586","58,350",WIPRO
Mar 2016,494,"45,651","12,522","12,924","71,590","17,279",381,"20,915","33,016","71,590",WIPRO
Mar 2017,486,"51,184","14,241","12,761","78,672","19,886",738,"29,913","28,135","78,672",WIPRO
Mar 2018,905,"47,022","13,901","13,563","75,391","18,127","1,378","25,797","30,090","75,391",WIPRO
Mar 2019,"1,207","55,216","9,947","16,217","82,586","17,465","2,142","22,887","40,093","82,586",WIPRO
Mar 2020,"1,143","54,179","9,724","15,954","81,000","22,062","1,881","20,032","37,024","81,000",WIPRO
Mar 2021,"1,096","53,805","10,451","17,213","82,566","23,040","1,853","18,775","38,898","82,566",WIPRO
Mar 2022,"1,096","64,307","17,593","24,280","107,276","37,990","1,602","26,154","41,531","107,276",WIPRO
Sep 2022,"1,097","70,215","19,459","22,972","113,743","43,937","1,733","29,635","38,438","113,743",WIPRO
Mar 2011,"2,981","151,112","84,152","69,274","307,519","158,100","28,174","21,596","99,649","307,519",RELIANCE
Mar 2012,"2,979","166,466","92,447","65,299","327,191","138,814","25,363","38,596","124,418","327,191",RELIANCE
Mar 2013,"2,936","179,094","107,219","73,108","362,357","133,487","49,952","42,848","136,070","362,357",RELIANCE
Mar 2014,"2,940","195,730","138,761","91,412","428,843","141,417","91,494","60,602","135,330","428,843",RELIANCE
Mar 2015,"2,943","215,539","168,251","117,753","504,486","156,458","166,462","76,451","105,115","504,486",RELIANCE
Mar 2016,"2,948","228,600","194,714","172,735","598,997","184,910","228,697","84,015","101,375","598,997",RELIANCE
Mar 2017,"2,959","260,746","217,475","225,622","706,802","198,526","324,837","82,899","100,540","706,802",RELIANCE
Mar 2018,"5,922","287,569","239,843","277,939","811,273","403,885","187,022","82,862","137,504","811,273",RELIANCE
Mar 2019,"5,926","381,184","307,714","302,806","997,630","398,374","179,463","235,635","184,158","997,630",RELIANCE
Mar 2020,"6,339","442,826","355,133","358,717","1,163,015","532,658","109,106","276,767","244,484","1,163,015",RELIANCE
Mar 2021,"6,445","653,884","278,962","380,774","1,320,065","541,258","125,953","364,828","288,026","1,320,065",RELIANCE
Mar 2022,"6,765","772,720","319,158","399,979","1,498,622","627,798","172,506","394,264","304,054","1,498,622",RELIANCE
Mar 2011,296,"24,209",75,"8,092","32,572","7,479","1,194","1,763","22,136","32,572",TCS
Mar 2012,296,"29,284",127,"11,551","41,157","8,662","1,446","1,350","29,698","41,157",TCS
Mar 2013,296,"38,350",232,"13,154","51,932","9,828","1,895","1,897","38,312","51,932",TCS
Mar 2014,196,"48,999",297,"17,337","66,829","9,544","3,168","3,434","50,682","66,829",TCS
Mar 2015,196,"50,439",358,"22,325","73,318","11,638","2,766","1,662","57,252","73,318",TCS
Mar 2016,197,"70,875",245,"16,974","88,291","11,774","1,670","22,822","52,025","88,291",TCS
Mar 2017,197,"86,017",289,"15,830","102,333","11,701","1,541","41,980","47,111","102,333",TCS
Mar 2018,191,"84,937",247,"19,751","105,126","11,973","1,278","36,008","55,867","105,126",TCS
Mar 2019,375,"89,071",62,"24,393","113,901","12,290",963,"29,330","71,318","113,901",TCS
Mar 2020,375,"83,751","8,174","27,820","120,120","20,928",906,"26,356","71,930","120,120",TCS
Mar 2021,370,"86,063","7,795","35,764","129,992","21,021",926,"29,373","78,672","129,992",TCS
Mar 2022,366,"88,773","7,818","43,967","140,924","21,298","1,205","30,485","87,936","140,924",TCS
Sep 2022,366,"97,088","7,460","43,259","148,173","20,277","1,513","43,118","83,265","148,173",TCS
Mar 2011,110,"17,617","32,960","12,868","63,555","17,466","25,361",334,"20,394","63,555",ADANIENT
Mar 2012,110,"19,362","69,479","18,010","106,960","37,735","37,221",542,"31,463","106,960",ADANIENT
Mar 2013,110,"21,286","69,332","21,143","111,871","48,770","29,248",323,"33,529","111,871",ADANIENT
Mar 2014,110,"23,647","71,980","22,365","118,102","70,579","13,574",288,"33,661","118,102",ADANIENT
Mar 2015,110,"25,618","83,571","21,420","130,718","83,834","6,733",744,"39,407","130,718",ADANIENT
Mar 2016,110,"13,268","19,169","9,132","41,679","10,473","7,705",805,"22,696","41,679",ADANIENT
Mar 2017,110,"14,026","20,846","12,630","47,611","13,668","7,731","1,042","25,170","47,611",ADANIENT
Mar 2018,110,"14,979","17,637","23,679","56,405","10,555","5,526","1,461","38,864","56,405",ADANIENT
Mar 2019,110,"14,646","11,243","16,537","42,536","9,020","5,765","1,511","26,240","42,536",ADANIENT
Mar 2020,110,"16,837","12,419","17,509","46,875","10,476","7,347","1,952","27,099","46,875",ADANIENT
Mar 2021,110,"17,049","16,227","18,231","51,617","10,838","8,825","5,503","26,451","51,617",ADANIENT
Mar 2022,110,"20,329","41,604","39,543","101,586","30,123","23,544","4,292","43,627","101,586",ADANIENT
Mar 2011,403,"3,786","3,592","1,739","9,519","6,391","1,717",67,"1,344","9,519",ADANIPORTS
Mar 2012,403,"4,412","17,565","3,536","25,914","18,428","3,638",70,"3,778","25,914",ADANIPORTS
Mar 2013,403,"5,993","11,617","3,025","21,035","11,382","2,951",222,"6,480","21,035",ADANIPORTS
Mar 2014,417,"8,351","12,976","2,936","24,677","13,163","2,025",63,"9,426","24,677",ADANIPORTS
Mar 2015,417,"10,351","17,773","3,544","32,082","20,527","1,276",260,"10,020","32,082",ADANIPORTS
Mar 2016,414,"12,925","22,342","2,704","38,385","20,883","1,967",545,"14,990","38,385",ADANIPORTS
Mar 2017,414,"16,946","22,214","3,795","43,369","21,054","4,514","1,161","16,641","43,369",ADANIPORTS
Mar 2018,672,"20,489","22,112","4,217","47,233","22,670","4,545","1,079","18,938","47,233",ADANIPORTS
Mar 2019,680,"23,958","27,446","4,493","56,311","28,121","4,483",782,"22,924","56,311",ADANIPORTS
Mar 2020,670,"25,051","29,979","6,481","61,917","32,715","3,216","1,178","24,808","61,917",ADANIPORTS
Mar 2021,679,"30,035","35,583","8,557","74,582","48,291","3,697","2,236","20,358","74,582",ADANIPORTS
Mar 2022,704,"37,661","47,619","8,181","93,883","56,811","3,986","5,961","27,125","93,883",ADANIPORTS
Mar 2011,62,"1,768",957,815,"3,602","1,530",361,502,"1,210","3,602",APOLLOHOSP
Mar 2012,67,"2,401",817,698,"3,983","2,011",209,564,"1,198","3,983",APOLLOHOSP
Mar 2013,70,"2,677","1,213",854,"4,814","2,341",403,527,"1,543","4,814",APOLLOHOSP
Mar 2014,70,"2,907","1,344","1,029","5,350","2,681",491,322,"1,855","5,350",APOLLOHOSP
Mar 2015,70,"3,101","1,992","1,297","6,459","3,244",533,311,"2,372","6,459",APOLLOHOSP
Mar 2016,70,"3,261","2,834","1,195","7,360","3,997",562,352,"2,448","7,360",APOLLOHOSP
Mar 2017,70,"3,240","3,125","1,668","8,103","4,591",347,406,"2,759","8,103",APOLLOHOSP
Mar 2018,70,"3,182","3,427","1,917","8,596","4,773",712,352,"2,759","8,596",APOLLOHOSP
Mar 2019,70,"3,264","3,673","2,159","9,166","4,982",822,462,"2,901","9,166",APOLLOHOSP
Mar 2020,70,"3,270","3,596","4,354","11,289","7,432",236,434,"3,187","11,289",APOLLOHOSP
Mar 2021,72,"4,531","4,160","2,629","11,392","6,778",234,"1,343","3,037","11,392",APOLLOHOSP
Mar 2022,72,"5,551","4,068","3,493","13,184","8,269",46,780,"4,090","13,184",APOLLOHOSP
Mar 2011,96,"2,092",233,"2,190","4,611","1,310",43,429,"2,828","4,611",ASIANPAINT
Mar 2012,96,"2,653",341,"2,623","5,712","1,301",617,355,"3,440","5,712",ASIANPAINT
Mar 2013,96,"3,288",251,"3,149","6,784","2,441",59,296,"3,989","6,784",ASIANPAINT
Mar 2014,96,"3,943",249,"3,787","8,075","2,562",72,"1,424","4,019","8,075",ASIANPAINT
Mar 2015,96,"4,646",418,"3,754","8,914","2,660",196,"1,588","4,471","8,914",ASIANPAINT
Mar 2016,96,"6,429",323,"3,711","10,559","3,416",107,"2,712","4,324","10,559",ASIANPAINT
Mar 2017,96,"7,508",560,"4,241","12,405","3,304",258,"2,652","6,192","12,405",ASIANPAINT
Mar 2018,96,"8,314",533,"4,820","13,763","3,732","1,405","2,141","6,485","13,763",ASIANPAINT
Mar 2019,96,"9,375","1,320","5,459","16,249","6,497",210,"2,569","6,974","16,249",ASIANPAINT
Mar 2020,96,"10,034","1,118","4,889","16,138","6,272",140,"2,019","7,707","16,138",ASIANPAINT
Mar 2021,96,"12,710","1,093","6,456","20,355","5,859",183,"4,737","9,577","20,355",ASIANPAINT
Mar 2022,96,"13,716","1,587","7,560","22,958","5,519",426,"3,248","13,765","22,958",ASIANPAINT
Sep 2022,96,"14,007","1,866","8,273","24,242","5,595",335,"3,083","15,228","24,242",ASIANPAINT
Mar 2011,411,"18,484","215,434","8,238","242,567","2,270",23,"71,788","168,486","242,567",AXISBANK
Mar 2012,413,"22,269","254,059","8,675","285,417","2,204",80,"92,921","190,211","285,417",AXISBANK
Mar 2013,468,"32,690","296,254","11,145","340,558","2,245",142,"113,378","224,792","340,558",AXISBANK
Mar 2014,470,"37,926","333,280","14,674","386,350","2,346",102,"113,093","270,810","386,350",AXISBANK
Mar 2015,474,"44,475","406,638","15,656","467,243","2,447",105,"118,527","346,164","467,243",AXISBANK
Mar 2016,477,"53,082","472,150","20,678","546,387","3,358",216,"131,399","411,414","546,387",AXISBANK
Mar 2017,479,"55,901","527,437","27,644","611,462","3,518",292,"129,018","478,633","611,462",AXISBANK
Mar 2018,513,"63,694","611,425","28,071","703,703","3,697",352,"153,037","546,618","703,703",AXISBANK
Mar 2019,514,"67,288","711,996","34,248","814,046","3,842",288,"174,056","635,860","814,046",AXISBANK
Mar 2020,564,"85,776","797,337","44,194","927,872","3,912",483,"155,282","768,196","927,872",AXISBANK
Mar 2021,613,"102,981","850,551","46,859","1,001,005","4,501",118,"225,336","771,050","1,001,005",AXISBANK
