year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow,symbol
Mar 2011,"2,964","-22,418","20,218",765,ADANIENT
Mar 2012,645,"-34,827","34,872",690,ADANIENT
Mar 2013,"7,666","-14,790","7,199",75,ADANIENT
Mar 2014,"8,228","-8,007","-1,109",-888,ADANIENT
Mar 2015,"8,532","-11,465","3,445",512,ADANIENT
Mar 2016,"5,112","-1,825","-3,448",-161,ADANIENT
Mar 2017,774,"-1,460",716,30,ADANIENT
Mar 2018,"2,942","-7,649","5,120",413,ADANIENT
Mar 2019,"3,236","2,487","-6,158",-436,ADANIENT
Mar 2020,"2,454","-1,082",-221,"1,151",ADANIENT
Mar 2021,"4,043","-8,611","3,109","-1,459",ADANIENT
Mar 2022,"1,385","-17,041","15,901",246,ADANIENT
Mar 2011,"1,209",-970,-528,-289,ADANIPORTS
Mar 2012,"1,200","-13,876","12,976",300,ADANIPORTS
Mar 2013,"1,379","-5,136","4,138",381,ADANIPORTS
Mar 2014,"1,132","-2,510",772,-606,ADANIPORTS
Mar 2015,"3,057","-2,485",-237,335,ADANIPORTS
Mar 2016,"2,381","-4,153","2,170",398,ADANIPORTS
Mar 2017,"4,063","-2,629","-1,325",109,ADANIPORTS
Mar 2018,"5,608","-3,846","-1,889",-127,ADANIPORTS
Mar 2019,"6,029","-4,368","2,313","3,975",ADANIPORTS
Mar 2020,"7,402",-749,"-4,256","2,397",ADANIPORTS
Mar 2021,"7,556","-14,064","3,514","-2,994",ADANIPORTS
Mar 2022,"9,800","-7,423","2,042","4,419",ADANIPORTS
Mar 2011,259,-441,47,-136,APOLLOHOSP
Mar 2012,387,-468,135,54,APOLLOHOSP
Mar 2013,443,-733,373,83,APOLLOHOSP
Mar 2014,373,-356,-63,-46,APOLLOHOSP
Mar 2015,470,-759,392,103,APOLLOHOSP
Mar 2016,597,-888,330,39,APOLLOHOSP
Mar 2017,623,"-1,152",477,-52,APOLLOHOSP
Mar 2018,537,-405,-108,24,APOLLOHOSP
Mar 2019,905,-711,-215,-20,APOLLOHOSP
Mar 2020,"1,293",-289,-910,94,APOLLOHOSP
Mar 2021,"1,265",-880,-340,44,APOLLOHOSP
Mar 2022,"1,628",-678,-793,158,APOLLOHOSP
Mar 2011,762,-439,-334,-11,ASIANPAINT
Mar 2012,710,-386,-327,-2,ASIANPAINT
Mar 2013,"1,187",-463,-601,123,ASIANPAINT
Mar 2014,"1,402",-586,-626,190,ASIANPAINT
Mar 2015,"1,188",-465,-576,147,ASIANPAINT
