quarter,promoter,fiis,diis,public,government,other,symbol
Dec 2019,74.92,19.44,2.59,3.06,,,ADANIENT
Mar 2020,74.92,20.37,1.57,3.14,,,ADANIENT
Jun 2020,74.92,20.08,1.61,3.39,,,ADANIENT
Sep 2020,74.92,20.3,1.18,3.6,,,ADANIENT
Dec 2020,74.92,20.26,1.24,3.59,,,ADANIENT
Mar 2021,74.92,20.51,0.83,3.74,,,ADANIENT
Jun 2021,74.92,19.65,2.14,3.29,,,ADANIENT
Sep 2021,74.92,18.05,3.87,3.16,,,ADANIENT
Dec 2021,74.92,17.25,4.96,2.87,,,ADANIENT
Mar 2022,74.92,16.62,5.69,2.77,,,ADANIENT
Jun 2022,72.28,15.83,5.68,6.22,,,ADANIENT
Sep 2022,72.62,15.59,5.33,6.46,,,ADANIENT
Dec 2019,62.46,18.72,15.76,2.98,0.08,,ADANIPORTS
Mar 2020,62.79,17.53,16.62,2.98,0.08,,ADANIPORTS
Jun 2020,63.57,17.05,16.6,2.69,0.08,,ADANIPORTS
Sep 2020,63.65,17.05,16.43,2.78,0.08,,ADANIPORTS
Dec 2020,63.74,17.75,15.67,2.76,0.08,,ADANIPORTS
Mar 2021,63.74,17.9,14.83,3.46,0.07,,ADANIPORTS
Jun 2021,63.79,15.72,14.84,5.62,0.03,,ADANIPORTS
Sep 2021,63.83,15.29,15.83,5.02,0.03,,ADANIPORTS
Dec 2021,63.83,15.27,15.88,4.99,0.03,,ADANIPORTS
Mar 2022,65.55,14.26,15.32,4.84,0.03,,ADANIPORTS
Jun 2022,66.02,14.24,15.06,4.65,0.03,,ADANIPORTS
Sep 2022,66.02,14.34,15.35,4.26,0.03,,ADANIPORTS
Dec 2019,30.8,48.84,13.35,6.77,0.23,,APOLLOHOSP
Mar 2020,30.81,46.92,14.78,7.25,0.23,,APOLLOHOSP
Jun 2020,30.82,46.58,15.11,7.26,0.23,,APOLLOHOSP
Sep 2020,30.82,47.81,14.71,6.43,0.23,,APOLLOHOSP
Dec 2020,30.82,51.7,10.85,6.4,0.23,,APOLLOHOSP
Mar 2021,29.82,54.51,9.25,6.2,0.23,,APOLLOHOSP
Jun 2021,29.82,53.23,10.85,5.88,0.23,,APOLLOHOSP
Sep 2021,29.82,51.54,12.28,6.14,0.23,,APOLLOHOSP
Dec 2021,29.33,52.41,12.17,5.86,0.23,,APOLLOHOSP
Mar 2022,29.33,50.81,12.93,6.7,0.23,,APOLLOHOSP
Jun 2022,29.33,48.48,15.64,6.32,0.23,,APOLLOHOSP
Sep 2022,29.33,49.09,15.28,6.07,0.23,,APOLLOHOSP
Dec 2019,52.79,17.24,10.16,19.69,0.13,0,ASIANPAINT
Mar 2020,52.79,17.21,9.81,20.04,0.14,0,ASIANPAINT
Jun 2020,52.79,18.21,8.95,19.96,0.08,0,ASIANPAINT
Sep 2020,52.79,19.84,8.12,19.16,0.08,0,ASIANPAINT
Dec 2020,52.79,21.13,7.02,18.98,0.08,0,ASIANPAINT
Mar 2021,52.79,20.38,7.27,19.48,0.08,0,ASIANPAINT
Jun 2021,52.79,20.72,7.26,19.18,0.04,0,ASIANPAINT
Sep 2021,52.79,20.96,6.84,19.35,0.04,0.02,ASIANPAINT
Dec 2021,52.63,20.48,7.15,19.68,0.04,0.02,ASIANPAINT
Mar 2022,52.63,19.45,7.57,20.29,0.04,0.02,ASIANPAINT
Jun 2022,52.63,18.51,8.42,20.37,0.04,0.04,ASIANPAINT
Sep 2022,52.63,18.56,8.74,19.99,0.04,0.04,ASIANPAINT
Dec 2019,16.08,48.35,23.1,12.46,,,AXISBANK
Mar 2020,16,45.49,24.94,13.56,,,AXISBANK
Jun 2020,15.99,45.96,24.41,13.64,,,AXISBANK
Sep 2020,14.78,49.24,23.92,12.06,,,AXISBANK
Dec 2020,13.93,51.02,23.53,11.52,,,AXISBANK
Mar 2021,13.58,51.43,23.27,11.72,,,AXISBANK
Jun 2021,11.69,52.49,24.27,11.55,,,AXISBANK
Sep 2021,11.64,51.38,25.32,11.66,,,AXISBANK
Dec 2021,9.71,47.44,30.21,12.64,,,AXISBANK
Mar 2022,9.7,46.93,30.5,12.87,,,AXISBANK
Jun 2022,9.7,46.58,31.47,12.25,,,AXISBANK
Sep 2022,9.69,46.12,32.26,11.95,,,AXISBANK
Dec 2019,53.52,13.88,10.1,22.49,0,,BAJAJ-AUTO
Mar 2020,53.66,13.94,8.76,23.64,0,,BAJAJ-AUTO
Jun 2020,53.69,13.71,9.12,23.48,0,,BAJAJ-AUTO
Sep 2020,53.69,13.56,10.41,22.34,0,,BAJAJ-AUTO
Dec 2020,53.7,13.06,9.13,24.11,0,,BAJAJ-AUTO
Mar 2021,53.7,11.99,12.29,22.02,0,,BAJAJ-AUTO
Jun 2021,53.7,11.82,12.71,21.77,0,,BAJAJ-AUTO
Sep 2021,53.7,11.21,12.85,22.24,0,,BAJAJ-AUTO
Dec 2021,53.73,10.2,13.23,22.84,0,,BAJAJ-AUTO
Mar 2022,53.77,10.49,13.17,22.57,0,,BAJAJ-AUTO
Jun 2022,53.77,11.16,12.4,22.68,0,,BAJAJ-AUTO
Sep 2022,54.84,11.56,11.53,21.99,0.07,,BAJAJ-AUTO
Dec 2019,56.15,22.22,10.46,10.87,0,0.3,BAJFINANCE
Mar 2020,56.2,21.16,10.89,11.46,0,0.29,BAJFINANCE
Jun 2020,56.2,21.24,10.11,12.22,0,0.22,BAJFINANCE
Sep 2020,56.12,21.31,10.7,11.55,0,0.32,BAJFINANCE
Dec 2020,56.12,23.89,9.07,10.64,0,0.28,BAJFINANCE
Mar 2021,56.12,24.06,9.08,10.57,0,0.17,BAJFINANCE
Jun 2021,56.03,24.03,9.33,10.4,0,0.21,BAJFINANCE
Sep 2021,56.03,23.64,9.73,10.42,0,0.17,BAJFINANCE
Dec 2021,56.03,22.85,10.11,10.91,0,0.1,BAJFINANCE
Mar 2022,55.86,21.41,11.22,11.15,0,0.36,BAJFINANCE
Jun 2022,55.86,19.98,12.03,11.84,0,0.29,BAJFINANCE
Sep 2022,55.86,20.49,12.09,11.26,0.07,0.22,BAJFINANCE
Dec 2019,60.71,8.7,6.63,23.84,,0.13,BAJAJFINSV
Mar 2020,60.8,8.62,6.24,24.15,,0.19,BAJAJFINSV
Jun 2020,60.8,7.98,6.35,24.68,,0.19,BAJAJFINSV
Sep 2020,60.8,7.71,6.83,24.48,,0.19,BAJAJFINSV
Dec 2020,60.8,8.78,6.07,24.17,,0.18,BAJAJFINSV
Mar 2021,60.8,9.07,6.09,23.87,,0.18,BAJAJFINSV
Jun 2021,60.8,9.55,6,23.49,,0.16,BAJAJFINSV
Sep 2021,60.8,8.92,6.65,23.5,,0.13,BAJAJFINSV
Dec 2021,60.8,8.78,6.75,23.55,,0.12,BAJAJFINSV
Mar 2022,60.77,8.5,6.97,23.65,,0.11,BAJAJFINSV
Jun 2022,60.8,7.38,7.7,24.03,,0.09,BAJAJFINSV
Sep 2022,60.75,7.48,7.01,24.6,,0.16,BAJAJFINSV
Dec 2019,52.98,14.07,18.47,0.86,13.63,0,BPCL
Mar 2020,52.98,12.28,19.61,0.86,14.27,0,BPCL
Jun 2020,52.98,11.95,20.48,0.86,13.73,0,BPCL
Sep 2020,52.98,11.98,20.57,0.86,13.61,0,BPCL
Dec 2020,52.98,11.56,20.07,0.86,12.53,2,BPCL
Mar 2021,52.98,12.42,23.31,0.86,8.43,2,BPCL
Jun 2021,52.98,12.63,22.36,0.86,10.86,0.32,BPCL
Sep 2021,52.98,11.97,21.73,0.86,12.15,0.32,BPCL
Dec 2021,52.98,12.66,21.14,0.86,12.05,0.32,BPCL
Mar 2022,52.98,13.69,19.85,0.86,12.31,0.32,BPCL
Jun 2022,52.98,13.17,20.7,0.86,11.98,0.32,BPCL
Sep 2022,52.98,12.96,20.9,0.94,12.23,0,BPCL
Dec 2019,62.7,16.4,14.14,0,6.71,0.05,BHARTIARTL
Mar 2020,58.98,20.29,15.83,0,4.87,0.04,BHARTIARTL
Jun 2020,56.23,20.15,18.37,0,5.21,0.04,BHARTIARTL
Sep 2020,56.23,17.57,21.72,0,4.45,0.03,BHARTIARTL
Dec 2020,56.23,17.75,21.78,0,4.18,0.06,BHARTIARTL
Mar 2021,55.86,18.57,20.35,0,5.16,0.06,BHARTIARTL
Jun 2021,55.86,18.12,20.64,0,5.32,0.06,BHARTIARTL
Sep 2021,55.86,19.87,19.15,0,5.08,0.05,BHARTIARTL
Dec 2021,55.93,19.37,19.48,0,5.16,0.05,BHARTIARTL
Mar 2022,55.93,19.36,19.5,0,5.16,0.05,BHARTIARTL
Jun 2022,55.93,18.54,20.22,0,5.26,0.05,BHARTIARTL
Sep 2022,55.14,21.87,18.76,0.12,4.06,0.04,BHARTIARTL
Dec 2019,50.63,15.79,13.56,20.02,,,BRITANNIA
Mar 2020,50.63,14.71,13.38,21.28,,,BRITANNIA
Jun 2020,50.61,14.67,12.66,22.06,,,BRITANNIA
Sep 2020,50.58,16.04,11.46,21.92,,,BRITANNIA
Dec 2020,50.55,17.67,10.65,21.14,,,BRITANNIA
Mar 2021,50.55,17.96,11.23,20.26,,,BRITANNIA
Jun 2021,50.55,18.4,11.18,19.87,,,BRITANNIA
Sep 2021,50.55,17.65,11.53,20.28,,,BRITANNIA
Dec 2021,50.55,17.59,11.53,20.34,,,BRITANNIA
Mar 2022,50.55,17.17,7.94,24.35,,,BRITANNIA
Jun 2022,50.55,16.65,8.74,24.06,,,BRITANNIA
Sep 2022,50.55,17.18,16.12,16.14,0,,CIPLA
